id,name,name_fr,name_ar,category,sub_category,sector,address,lat,lon,phone,website,opening_hours,operator,beds,source,source_url,confidence_score,osm_amenity,osm_healthcare
osm_node_5031507624,الدكتورة ياسمينة ابن المليح,,الدكتورة ياسمينة ابن المليح,dentist,,unknown,Boulevard Bir Anzarane,33.5800593,-7.6370592,+212 5 22 23 44 79,,Mo-Sa 09:00-18:00,,,OSM,https://www.openstreetmap.org/node/5031507624,0.7,dentist,dentist
osm_node_5038392422,Laboratoire Yafa,Laboratoire Yafa,,doctor,,unknown,,33.6119556,-7.4981365,,,,,,OSM,https://www.openstreetmap.org/node/5038392422,0.7,doctors,doctor
osm_node_5043935622,pharmacie souk elbaldi صيدلية السوق البلدي,pharmacie souk elbaldi,صيدلية السوق البلدي,pharmacy,,unknown,,33.5473266,-7.5978709,,,,,,OSM,https://www.openstreetmap.org/node/5043935622,0.7,pharmacy,pharmacy
osm_node_5043935721,pharmacie d'azhar صيدلية الأزهر,pharmacie d'azhar,صيدلية الأزهر,pharmacy,,unknown,Boulevard de Taza,33.5455816,-7.5952095,,,,,,OSM,https://www.openstreetmap.org/node/5043935721,0.7,pharmacy,pharmacy
osm_node_5044967323,,,,pharmacy,,unknown,,33.5478068,-7.5901845,,,,,,OSM,https://www.openstreetmap.org/node/5044967323,0.7,pharmacy,pharmacy
osm_node_5044967324,,,,pharmacy,,unknown,,33.5434141,-7.5960949,,,,,,OSM,https://www.openstreetmap.org/node/5044967324,0.7,pharmacy,pharmacy
osm_node_5044977922,,,,pharmacy,,unknown,,33.5464472,-7.6003028,,,,,,OSM,https://www.openstreetmap.org/node/5044977922,0.7,pharmacy,pharmacy
osm_node_5056135424,Pharmacie Bachkou,Pharmacie Bachkou,,pharmacy,,unknown,,33.5554062,-7.6294061,,,,,,OSM,https://www.openstreetmap.org/node/5056135424,0.7,pharmacy,pharmacy
osm_node_5081379771,Pharmacie Carnot,,,pharmacy,,unknown,,33.5936301,-7.5831998,,,,,,OSM,https://www.openstreetmap.org/node/5081379771,0.7,pharmacy,pharmacy
osm_node_5081797762,Pharmacie Dokkala,,,pharmacy,,unknown,,33.5596013,-7.5386995,,,,,,OSM,https://www.openstreetmap.org/node/5081797762,0.7,pharmacy,pharmacy
osm_node_5104919922,pharmacie tam صيدلية طام,pharmacie tam,صيدلية طام,pharmacy,,unknown,Boulevard Oued Sebou,33.5530143,-7.6775632,,,,,,OSM,https://www.openstreetmap.org/node/5104919922,0.7,pharmacy,pharmacy
osm_node_5234584424,Avicenne ابن سينا,Avicenne,ابن سينا,clinic,,unknown,Boulevard de l'Atlantide,33.5542874,-7.6110661,+212 5 22 79 33 00,,24/7,,,OSM,https://www.openstreetmap.org/node/5234584424,0.7,clinic,clinic
osm_node_5282223224,Avicenne ابن سينا,Avicenne,ابن سينا,clinic,,unknown,Avenue de Nador,33.5543506,-7.6109113,+212 5 22 79 33 00,,24/7,,,OSM,https://www.openstreetmap.org/node/5282223224,0.7,clinic,clinic
osm_node_5291826286,Clinique Bournazel,,,clinic,,unknown,,33.5761131,-7.5484865,,,,,,OSM,https://www.openstreetmap.org/node/5291826286,0.7,clinic,clinic
osm_node_5291949618,Laboratoire d'analyses médicales Attacharouk,,,clinic,,unknown,,33.5732378,-7.5301711,,,,,,OSM,https://www.openstreetmap.org/node/5291949618,0.7,clinic,clinic
osm_node_5291949619,Dr Amor,,,doctor,paediatrics,unknown,,33.5731773,-7.5304489,,,,,,OSM,https://www.openstreetmap.org/node/5291949619,0.7,doctors,doctor
osm_node_5299322320,Pharmacie Fathi,,,pharmacy,,unknown,,33.576566,-7.539824,,,,,,OSM,https://www.openstreetmap.org/node/5299322320,0.7,pharmacy,pharmacy
osm_node_5420577823,pharmacie El Wafaa,pharmacie El Wafaa,,pharmacy,,unknown,,33.6089516,-7.5416759,,,,,,OSM,https://www.openstreetmap.org/node/5420577823,0.7,pharmacy,pharmacy
osm_node_5424315622,centre radiologie abdelmoumen مركز الفحص بالأشعة عبدالمومن,centre radiologie abdelmoumen,مركز الفحص بالأشعة عبدالمومن,doctor,,unknown,,33.5774897,-7.6268889,,,,,,OSM,https://www.openstreetmap.org/node/5424315622,0.7,doctors,doctor
osm_node_5427334321,annasim النسيم,annasim,النسيم,pharmacy,,unknown,Boulevard Oued Daoura,33.5409932,-7.6769565,,,,,,OSM,https://www.openstreetmap.org/node/5427334321,0.7,pharmacy,pharmacy
osm_node_5572610656,Pharmacy al-Harti صيدلية الحارثي,Pharmacy al-Harti,صيدلية الحارثي,pharmacy,,unknown,Avenue du Commandant Driss Harti,33.5505403,-7.5693749,,,,,,OSM,https://www.openstreetmap.org/node/5572610656,0.7,pharmacy,pharmacy
osm_node_5576311439,Pharmacie du Centre,,,pharmacy,,unknown,Boulevard Mohamed V,33.5934396,-7.6003812,,,,,,OSM,https://www.openstreetmap.org/node/5576311439,0.7,pharmacy,pharmacy
osm_node_5579516434,Laboratoire Cirab,,,laboratory,,unknown,Avenue 2 Mars,33.5768756,-7.6155277,,,,,,OSM,https://www.openstreetmap.org/node/5579516434,0.7,,laboratory
osm_node_5579551189,Pharmacie Ifni,,,pharmacy,,unknown,Rue Infi,33.5823599,-7.6019436,,,,,,OSM,https://www.openstreetmap.org/node/5579551189,0.7,pharmacy,pharmacy
osm_node_5579637510,,,,pharmacy,,unknown,Rue 15,33.5643746,-7.6097971,,,,,,OSM,https://www.openstreetmap.org/node/5579637510,0.7,pharmacy,pharmacy
osm_node_5581263607,Pharmacie La Gironde,,,pharmacy,,unknown,Rue Infi,33.5838537,-7.599594,,,,,,OSM,https://www.openstreetmap.org/node/5581263607,0.7,pharmacy,pharmacy
