id,name,name_fr,name_ar,sector,category,sub_category,address,lat,lon,phone,website,opening_hours,operator,brand,source,source_type,source_url,confidence_score,is_verified,osm_amenity,osm_shop
osm_way_274178428,college henry matisse,,,education,school,,,33.5568814,-7.6799577,,,,,,OSM,osm,https://www.openstreetmap.org/way/274178428,0.65,False,school,
osm_way_285573275,Faculté de Aïn Sebaa,,,education,university,,,33.5933211,-7.531309,,http://www.facainsebaa.ma/,,Faculté des Sciences Juridiques Economiques et Sociales - Université Hassan II,,OSM,osm,https://www.openstreetmap.org/way/285573275,0.65,False,university,
osm_way_286685404,Lycée Abdelkrim Lahlou,,,education,school,,,33.5717725,-7.6228599,,,,,,OSM,osm,https://www.openstreetmap.org/way/286685404,0.65,False,school,
osm_way_297670872,École Jeanne d'Arc,,,education,school,,Place Bel Air,33.5924531,-7.6287112,,,,,,OSM,osm,https://www.openstreetmap.org/way/297670872,0.65,False,school,
osm_way_338124655,Collège Abdellah Gennoune,,,education,school,,,33.5421986,-7.5534663,,,,,,OSM,osm,https://www.openstreetmap.org/way/338124655,0.65,False,school,
osm_way_339220626,Collège Badr الثانوية الإعدادية بدر,Collège Badr,الثانوية الإعدادية بدر,education,school,,Rue des Arènes,33.5860489,-7.6419436,,,,,,OSM,osm,https://www.openstreetmap.org/way/339220626,0.65,False,school,
osm_way_373507930,,,,education,school,,,33.5588286,-7.6024445,,,,,,OSM,osm,https://www.openstreetmap.org/way/373507930,0.65,False,school,
osm_way_379401947,Faculté de Lettres et de Sciences Humaines d'Ain Chock كلية الآداب و العلوم الإنسانية عين الشق,Faculté de Lettres et de Sciences Humaines d'Ain Chock,كلية الآداب و العلوم الإنسانية عين الشق,education,university,,,33.5411773,-7.5993919,,,,,,OSM,osm,https://www.openstreetmap.org/way/379401947,0.65,False,university,
osm_way_389456668,Avicenna,,,education,school,,,33.5483551,-7.6366307,,,,Groupe Avicenna,,OSM,osm,https://www.openstreetmap.org/way/389456668,0.65,False,school,
osm_way_391064131,Collège Sidi Al Khadir,,,education,school,,,33.5692294,-7.6790113,,,,,,OSM,osm,https://www.openstreetmap.org/way/391064131,0.65,False,school,
osm_way_391064132,Lycée Ibn Al Haytham,,,education,school,,,33.5681388,-7.6783139,,,,,,OSM,osm,https://www.openstreetmap.org/way/391064132,0.65,False,school,
osm_way_395969086,Amina bent ouahab,,,education,school,,,33.6000419,-7.6319168,,,,,,OSM,osm,https://www.openstreetmap.org/way/395969086,0.65,False,school,
osm_way_403382635,ecole mosque مدرسة الابتدائية المسجد,,مدرسة الابتدائية المسجد,education,school,,,33.5588692,-7.5710027,,,,,,OSM,osm,https://www.openstreetmap.org/way/403382635,0.65,False,school,
osm_way_403450757,مدرسة تنمل,,المدرسة الابتدائية تنمل,education,school,,,33.5436551,-7.571677,,,,,,OSM,osm,https://www.openstreetmap.org/way/403450757,0.65,False,school,
osm_way_403450781,,,,education,school,,,33.5469025,-7.5675281,,,,,,OSM,osm,https://www.openstreetmap.org/way/403450781,0.65,False,school,
osm_way_403450782,,,,education,school,,,33.5459984,-7.5709304,,,,,,OSM,osm,https://www.openstreetmap.org/way/403450782,0.65,False,school,
osm_way_403450839,,,,education,school,,,33.5588767,-7.5754262,,,,,,OSM,osm,https://www.openstreetmap.org/way/403450839,0.65,False,school,
osm_way_403450850,,,,education,university,,,33.5643364,-7.539678,,,,,,OSM,osm,https://www.openstreetmap.org/way/403450850,0.65,False,college,
osm_way_416247693,Lycée Al Waha,,,education,school,,,33.5707318,-7.6409427,,,,,,OSM,osm,https://www.openstreetmap.org/way/416247693,0.65,False,school,
